name,lambert_x,lambert_y
Sandgatterl,492269.313084136,428549.48686745204
Viehtalalm,492269.313084136,428549.48686745204
Adlmoarstein,491022.32079450734,428529.8258435372
Waldbaueralm,492269.313084136,428549.48686745204
Federeck,492269.313084136,428549.48686745204
Mooshöhe,491022.32079450734,428529.8258435372
Antonihütte,489775.32431564206,428510.4323406862
Bergeralm,488529.07175691624,428491.31775289215
Blabergalm,487282.06707418186,428472.45913435053
Nattereck,486035.05837435357,428453.86803951394
Langeck,486035.05837435357,428453.86803951394
Zorngraben,484788.7937739835,428435.5553809861
Gugler,483541.77721446904,428417.49917562865
Zorngrabenklause,483541.77721446904,428417.49917562865
Sitzenbacher Klause,483541.77721446904,428417.49917562865
Sitzenbachhütte,483541.77721446904,428417.49917562865
Deckleitnerbach,483541.77721446904,428417.49917562865
Hundseck,481048.48068401054,428382.1997748241
Schafgraben,479801.4527640472,428364.9459901247
Maierreut,479801.4527640472,428364.9459901247
Rumpelmayrreut,478554.42117127974,428347.95973407663
Bloßboden,477308.13403568463,428331.25095649716
Weiße Ries,477308.13403568463,428331.25095649716
Schürhütte,476061.09527160757,428314.79959960096
Steinwand,476061.09527160757,428314.79959960096
Menauerriedel,493545.39116024226,426714.7830468351
Langseite,492298.7535204778,426694.86018291395
Tiefenbacher,491051.363352119,426675.1928857416
Seebacher,491051.363352119,426675.1928857416
Breitenberg,489803.96899318695,426655.79319499247
Köbigbaueralm,489803.96899318695,426655.79319499247
Sandlgraben,489803.96899318695,426655.79319499247
Sandl,489803.96899318695,426655.79319499247
Lärchkogel,488557.3187917574,426636.6725082919
Vordere Saigerin,488557.3187917574,426636.6725082919
Blaberg-Hochkogel,487309.9162263386,426617.80787251797
Reichraminger Hintergebirge,483568.43294963986,426562.8303776821
Weißensteineralm,483568.43294963986,426562.8303776821
Scheiterkogel,482321.014657475,426545.0360227097
Wohlführeralm,483568.43294963986,426562.8303776821
Steinfeldnerreut,482321.014657475,426545.0360227097
Dürreneck,479826.91507119517,426510.26042399555
Hundskogel,479826.91507119517,426510.26042399555
Groißn,481074.3408812573,426527.51971387304
Edelbacherreut,479826.91507119517,426510.26042399555
Zistlerreut,479826.91507119517,426510.26042399555
Brennkogel,479826.91507119517,426510.26042399555
Laubkögerl,477332.8007978259,426476.5546392696
Höllgraben,478579.4855871571,426493.26874813065
Muttling,477855.3992540857,425903.76357876323
Forsthaus Rieplsberg,477332.8007978259,426476.5546392696
Kleiner,476180.31083857047,425782.5403549634
Leitersteig,476085.36414019,426460.0980332261
Patzlberg,475245.3198401376,427003.33431244455
Bannholzmauer,474739.3420181937,426194.490064322
Wurbauerkogel,475324.68927141535,425613.3792038169
Totenkogel,493575.21130170114,424861.2773996247
Hundsgraben,492328.17626223265,424841.34818474855
Dörfl,492328.17626223265,424841.34818474855
Fuchsbauerkogel,492328.17626223265,424841.34818474855
Brandstein,491080.3884542808,424821.6746180896
Teufelsgraben,491080.3884542808,424821.6746180896
Zecker,491080.3884542808,424821.6746180896
Pfarrmauer,489832.5964544198,424802.26874315925
Kohlergrat,489832.5964544198,424802.26874315925
Zeckerkeusche,489832.5964544198,424802.26874315925
Quen,488585.54884928174,424783.1419612197
Königin,487337.748640318,424764.2713118298
Hintere Saigerin,487337.748640318,424764.2713118298
Hintere Saigerinhütte,487337.748640318,424764.2713118298
Trompetenmauer,486089.94441169756,424745.66835680977
Ahornsattel,486089.94441169756,424745.66835680977
Astein,484842.88475723343,424727.34401572775
Dörflmoaralm,484842.88475723343,424727.34401572775
Kreuzau,484842.88475723343,424727.34401572775
Eggbauer,482347.2567231896,424691.47626401205
Zeitschen,482073.0899332327,424330.39158970397
Hanslgraben,482347.2567231896,424691.47626401205
Rußgraben,481100.1855357484,424673.9543713741
Dirngraber,481100.1855357484,424673.9543713741
Bauernreut,481100.1855357484,424673.9543713741
Pitschstein,481100.1855357484,424673.9543713741
Stummerreut,481100.1855357484,424673.9543713741
Knirschensteinberg,478806.38810783764,425434.73329599015
Traxlerweg,479852.3620747314,424656.6895796284
Knirsch,477357.4527345018,424622.9730502656
Freitgraben,477426.2789456915,424345.6912552379
Moosgieler Bühel,476895.4388523041,423949.1735221287
Hotel Bischofsberg,476585.91654154455,424027.4365856303
Gasthof Sperl,476794.0468899575,424312.82874391414
Gasthof Schafflmühle,476346.6685417487,424742.03957535047
Mühlreit-Siedlung,475658.1922777437,424892.1717159692
Trojer,476109.6184224531,424606.511198231
Stummerhof,476109.6184224531,424606.511198231
Toter Hengst,492357.6166333205,422986.7256109407
Hochbrand,492357.6166333205,422986.7256109407
Rutschergraben,492357.6166333205,422986.7256109407
Mittereckriegel,492357.6166333205,422986.7256109407
Klausgraben,491109.43094752036,422967.0457710391
Rutscher,491109.43094752036,422967.0457710391
Jaglbaueralm,491109.43094752036,422967.0457710391
Glöckel,491109.43094752036,422967.0457710391
Rutscherhütte,491109.43094752036,422967.0457710391
Vorderpölzenbach,489861.2410684744,422947.6337082237
Halsmaieralm,489861.2410684744,422947.6337082237
Salcherberg,489861.2410684744,422947.6337082237
Türkenkopf,489861.2410684744,422947.6337082237
Krennbauer,488613.7958215141,422928.50082739256
Holzgraben,487365.59773074783,422909.62416078243
Hieflerstutzen,487365.59773074783,422909.62416078243
Grünplangraben,487365.59773074783,422909.62416078243
Staudenplangraben,487365.59773074783,422909.62416078243
Glegplangraben,486117.39561904315,422891.01527390163
Menaueralm,486117.39561904315,422891.01527390163
Spitzenbergriedel,484869.93831891456,422872.6850897996
Egglreith,484869.93831891456,422872.6850897996
Hengstpaß,484869.93831891456,422872.6850897996
Spitzenbergalm,484869.93831891456,422872.6850897996
Zickerreut,483621.72834000184,422854.61160429753
Gasthof Egglalm,483621.72834000184,422854.61160429753
